dependency1,dependency2,count,count1,count2,proportion1,proportion2,maxProportion
javax.servlet:javax.servlet-api,org.apache.commons:commons-lang3,172,368,742,0.47,0.23,0.47
org.codehaus.plexus:plexus-utils,org.openjdk.jmh:jmh-generator-annprocess,10,106,138,0.09,0.07,0.09
org.apache.ant:ant,org.apache.httpcomponents:httpmime,11,105,103,0.1,0.11,0.11
org.apache.ant:ant,org.apache.curator:curator-recipes,5,105,105,0.05,0.05,0.05
org.apache.ant:ant,org.apache.maven:maven-core,25,105,136,0.24,0.18,0.24
commons-beanutils:commons-beanutils,org.apache.commons:commons-collections4,56,213,154,0.26,0.36,0.36
commons-beanutils:commons-beanutils,org.springframework:spring-tx,41,213,117,0.19,0.35,0.35
org.scala-lang:scala-library,org.springframework:spring-tx,13,131,117,0.1,0.11,0.11
com.google.protobuf:protobuf-java,org.springframework:spring-tx,13,191,117,0.07,0.11,0.11
org.apache.logging.log4j:log4j-slf4j-impl,org.hibernate:hibernate-validator,8,180,107,0.04,0.07,0.07
com.google.inject:guice,org.springframework:spring-context,27,141,311,0.19,0.09,0.19
com.google.inject:guice,com.squareup.okhttp3:okhttp,13,141,176,0.09,0.07,0.09
org.bouncycastle:bcpkix-jdk15on,org.postgresql:postgresql,24,115,177,0.21,0.14,0.21
junit:junit,org.mockito:mockito-all,235,1690,278,0.14,0.85,0.85
commons-lang:commons-lang,org.springframework:spring-test,70,338,248,0.21,0.28,0.28
mysql:mysql-connector-java,org.jsoup:jsoup,52,406,180,0.13,0.29,0.29
org.apache.curator:curator-recipes,org.springframework:spring-context,37,105,311,0.35,0.12,0.35
com.google.code.gson:gson,javax.mail:mail,52,473,119,0.11,0.44,0.44
com.alibaba:druid,org.jsoup:jsoup,11,109,180,0.1,0.06,0.1
commons-fileupload:commons-fileupload,org.jsoup:jsoup,36,181,180,0.2,0.2,0.2
org.apache.poi:poi-ooxml,org.javassist:javassist,18,106,157,0.17,0.11,0.17
org.apache.commons:commons-collections4,org.eclipse.jetty:jetty-server,37,154,197,0.24,0.19,0.24
com.zaxxer:HikariCP,org.apache.logging.log4j:log4j-api,24,106,228,0.23,0.11,0.23
org.ow2.asm:asm,org.slf4j:jcl-over-slf4j,19,132,220,0.14,0.09,0.14
com.alibaba:fastjson,org.apache.httpcomponents:httpclient,86,253,502,0.34,0.17,0.34
com.alibaba:fastjson,org.hamcrest:hamcrest-library,2,253,171,0.01,0.01,0.01
javax.annotation:javax.annotation-api,org.apache.commons:commons-math3,24,185,140,0.13,0.17,0.17
org.powermock:powermock-module-junit4,org.testng:testng,18,156,209,0.12,0.09,0.12
org.hibernate:hibernate-core,org.javassist:javassist,38,139,157,0.27,0.24,0.27
com.google.code.findbugs:jsr305,org.slf4j:slf4j-simple,42,230,291,0.18,0.14,0.18
commons-configuration:commons-configuration,org.easymock:easymock,19,114,136,0.17,0.14,0.17
org.mockito:mockito-core,org.yaml:snakeyaml,85,678,196,0.13,0.43,0.43
com.squareup.okhttp3:okhttp,org.testng:testng,19,176,209,0.11,0.09,0.11
com.squareup.okhttp3:okhttp,org.hamcrest:hamcrest,19,176,114,0.11,0.17,0.17
org.openjdk.jmh:jmh-core,org.slf4j:slf4j-log4j12,34,147,386,0.23,0.09,0.23
javax.servlet:javax.servlet-api,org.apache.kafka:kafka-clients,38,368,117,0.1,0.32,0.32
org.codehaus.plexus:plexus-utils,org.ow2.asm:asm,23,106,132,0.22,0.17,0.22
org.springframework:spring-aop,org.springframework:spring-tx,69,133,117,0.52,0.59,0.59
commons-beanutils:commons-beanutils,org.slf4j:slf4j-simple,37,213,291,0.17,0.13,0.17
