dependency,count
org.ops4j.pax.tipi:org.ops4j.pax.tipi.hamcrest.core,1
org.sonatype.nexus:nexus-scheduling,1
com.smartbear.utils.analytics:out-app-analytics-provider,1
org.antlr:antlr-master,1
com.logicalclocks:service-discovery-client,1
com.youlai:common-rabbitmq,1
org.vassalengine:vassal-app,1
org.jupnp:org.jupnp,1
org.codice.ddf.spatial:spatial-geocoding-offline-index,1
org.oreon.common:oe-common-ui,1
org.glassfish.common:amx-core,2
org.glassfish.jaccApi.test:jaccApi-common,1
org.glassfish.main.admin:gf-restadmin-connector,1
org.glassfish.main.security:websecurity,1
org.wso2.carbon:org.wso2.carbon.identity.oauth.stub,1
org.onebusaway:onebusaway-siri-api,1
org.apache.sentry:solr-sentry-handlers,1
org.apache.shenyu:shenyu-register-common,1
com.git.hui.boot:102-jpa-errorcase,1
org.talend.esb.auxiliary.storage:auxiliary-storage-persistence-file,1
org.talend.esb.examples.rent-a-car:reservationservice-common,1
org.swordapp:sword-common,1
org.apache.ignite:ignite-rest-http,1
org.apache.ignite:ignite-ssh,1
com.pusher:pusher-http-java,1
com.querydsl:codegen-utils,1
de.dfki.mary:marytts-lang-fr,1
com.axellience:vue-gwt-processors,1
org.eclipse:text,1
io.ebean:ebean-test,1
org.eclipse.hono:hono-service-command-router-base,1
fish.payara.server.internal.security:appclient.security,1
org.restcomm.media.core.asr:media-core-asr-api,1
com.thinkbiganalytics.kylo.integrations:kylo-nifi-provenance-repo,1
com.thinkbiganalytics.kylo:kylo-commons-spring,1
org.interledger:stream-receiver,1
org.expath.packaging:pkg-java,1
eu.europa.ec.joinup.sd-dss:dss-token,1
pentaho:pentaho-kettle-repository-locator-api,1
org.bytesoft:bytetcc-core,1
org.apidesign.bck2brwsr:ko-bck2brwsr,1
org.teavm:teavm-eclipse-plugin,1
slash.navigation:elevation-service,1
gov.nsa.datawave.webservices:datawave-ws-atom,1
org.jberet.test-apps:cdiScopes-commons,1
com.vaadin:vaadin-karaf-bundle1,1
com.oracle.oci.sdk:oci-java-sdk-apmtraces,1
com.cxytiandi:kitty-spring-cloud-starter-sleuth,1
edu.isi:import-json,1
io.github.sevdokimov.logviewer:log-viewer,1
jboss:jboss-jmx,1
com.google.cloud.dataflow:google-cloud-dataflow-java-sdk-all,2
org.apereo.cas:cas-server-support-thymeleaf,1
org.xwiki.platform:xwiki-platform-annotation-rest,1
org.xwiki.platform:xwiki-platform-container-servlet,1
org.json:json,182
org.codehaus.woodstox:stax2-api,38
org.joyqueue:joyqueue-network,1
org.apache.camel.quarkus:camel-quarkus-aws2-ddb-deployment,1
org.apache.camel.quarkus:camel-quarkus-geocoder,1
org.apache.camel.quarkus:camel-quarkus-integration-test-messaging-jms,1
org.apache.camel.quarkus:camel-quarkus-xmpp,1
org.apache.hadoop:hadoop-annotations,26
org.apache.maven:maven-aether-provider,17
com.github.xiaoymin:knife4j-spring-boot-starter,17
org.apache.camel:camel-aws2-kinesis,1
org.apache.camel:camel-endpointdsl-support,1
org.apache.camel:camel-huawei-parent,1
org.apache.camel:camel-rxjava,1
org.apache.geronimo.specs:geronimo-annotation_1.0_spec,3
org.apache.maven.reporting:maven-reporting-api,11
com.github.stephenc.findbugs:findbugs-annotations,6
org.infinispan:infinispan-extended-statistics,1
org.infinispan:infinispan-server-router,2
org.wildfly.security:wildfly-elytron-sasl-oauth2,2
org.wildfly.security:wildfly-elytron-sasl-plain,2
net.lingala.zip4j:zip4j,22
org.eclipse.jetty:apache-jsp,20
com.netflix.rxjava:rxjava-android,1
com.vaadin.external.google:android-json,8
org.jline:jline-terminal,10
co.yixiang:yshop-common,1
org.eclipse.ceylon.cmr:cmr-spi,1
org.springframework.cloud:spring-cloud-dataflow-registry,2
org.netbeans.api:org-netbeans-modules-editor-util,3
io.confluent:kafka-streams-avro-serde,4
com.yammer.metrics:metrics-servlet,3
com.linecorp.armeria:armeria,5
com.typesafe.play:play-akka-http-server_2.12,1
net.sourceforge.cobertura:cobertura,2
org.apache.isis.viewer:isis-viewer-restfulobjects-rendering,1
org.datanucleus:datanucleus-rdbms,7
org.kie:kie-server-spring-boot-autoconfiguration-task-assigning-planning,1
com.bstek.ureport:ureport2-core,1
org.apache.nifi:nifi-avro-processors,1
org.apache.nifi:nifi-properties,1
org.jvnet.hudson:xstream,1
org.apache.seatunnel:seatunnel-connector-spark-fake,1
org.restcomm:restcomm-connect.mscontrol.mms,1
org.eclipse.kapua:kapua-user-test,1
com.spotify:styx-client,1
net.runelite.arn:http-api,1
org.sonarsource.sonarlint.core:sonarlint-core,6
com.github.APIJSON:apijson-framework,1
edu.stanford.protege:jre.os-x,1
org.keycloak:keycloak-quarkus-server,2
com.kunstmusik:blue-score-layers-patterns-ui,1
com.github.stefvanschie.inventoryframework:1_16_1,1
io.helidon.serviceconfiguration:helidon-serviceconfiguration-system-kubernetes,1
com.blazebit:blaze-persistence-integration-jaxrs-jackson-jakarta,1
org.wso2.carbon.mediation:org.wso2.carbon.localentry,2
org.wso2.carbon.mediation:org.wso2.carbon.mediation.ntask,1
io.gravitee.discovery:gravitee-service-discovery-api,1
com.sun.jersey.contribs:jersey-apache-client4,8
org.odpi.egeria:engine-host-services-api,1
org.odpi.egeria:governance-action-connectors,1
org.odpi.egeria:governance-engine-topic-connectors,1
io.cdap.cdap:cdap-authentication-client,1
io.cdap.cdap:cdap-program-report,1
io.cdap.cdap:cdap-watchdog,1
com.navercorp.pinpoint:pinpoint-jackson-plugin,1
com.android.tools.analytics-library:protos,1
com.android.tools.build:transform-api,1
cc.blynk.clickhouse:clickhouse4j,2
org.apache.hop:hop-action-delay,1
cc.twittertools:twitter-tools,1
org.apache.streampipes:streampipes-messaging-mqtt,1
com.google.code:cjftransform,2
de.tudarmstadt.ukp.dkpro.core:de.tudarmstadt.ukp.dkpro.core.treetagger-model-tagger-ru-le,1
com.hccake:ballcat-notify-controller,1
edu.emory.clir:clearnlp-general-en-ner,1
com.flickr4java:flickr4java,1
eu.larkc.csparql:CSPARQL,1
org.bethecoder:ascii-table,1
org.openimaj.tools:ClusterQuantiserTool,1
